state,statelike
milk,milky
death,fatal
page,paged
woman,feminine
world,worldly
grandeur,grand
home,homely
love,lovable
color,chromatic
compound,complex
loyalty,loyal
drama,dramatic
parent,parental
soldier,martial
fame,famous
hazard,hazardous
spite,spiteful
ghost,ghostly
flame,flaming
square,squarish
oil,oily
motion,kinetic
test,tested
circle,circular
capacitance,capacitive
analysis,analytical
Dream,Dreamy
element,basic
bottom,nether
investment,invested
solution,resolving
fish,marine
gravity,gravitational
clutter,cluttered
ash,ashy
Poetry,Poetic
music,musical
chair,seated
animal,feral
soul,soulful
Silver,Silvery
belief,dogmatic
novel,novelistic
narrowness,narrow
cloth,textile
code,coded
present,presented
tender,tender
word,wordy
version,versioned
weakness,weak
volcano,volcanic
whisper,whispering
engine,engined
oxygen,oxygenated
leader,leading
safe,secure
cow,bovine
law,legal
age,ageing
alphabet,alphabetical
garden,horticultural
work,laborious
idea,ideal
ear,aural
Stone,Stony
climate,climactic
accident,accidental
Silk,Silken
valley,valiant
report,reported
woe,woeful
expense,expensive
program,programmed
history,historical
space,spacious
universe,universal
route,routed
light,lightless
department,departmental
month,monthly
prestige,prestigious
remedy,remedial
wood,woody
infrastructure,structural
advantage,advantageous
Gold,Golden
secret,secretive
school,scholastic
picture,pictorial
Sand,Sandy
clothing,clothed
authority,authoritative
capital,capitalistic
office,official
poison,poisonous
calm,calming
shield,protective
strength,strong
unity,unified
program,programmatic
night,nightly
color,colored
factor,factored
contract,contractual
Dust,Dusty
humor,humorous
town,townish
peace,peaceful
eye,ocular
wrath,wrathful
seed,seeded
terror,terrible
sunshine,sunny
heaven,heavenly
whole,whole
sympathy,sympathetic
melody,melodious
taste,tasty
form,formal
shape,shapely
nerve,nervous
country,countryside
duty,dutiful
snow,snowy
evening,nocturnal
fascination,fascinating
tool,tooled
image,pictorial
spice,spicy
epic,epic
distance,distant
education,academic
relationship,relative
scandal,scandalous
nucleus,nuclear
space,spatial
failure,failed
garden,gardenesque
man,virile
philosophy,philosophical
copper,coppery
frivolity,frivolous
taste,tasteless
game,game
reptile,reptilian
love,loving
city,urban
touch,tangible
solution,soluble
sickness,sickly
wind,windy
vinegar,vinegary
zeal,zealous
north,northern
year,annual
particle,particulate
thinness,thin
Hill,Hilly
betrayal,betraying
ocean,oceanic
ode,odic
brain,brainy
plan,strategic
chance,random
globe,global
wool,woolly
bridge,bridged
comet,cometary
protection,protective
reason,reasonable
student,scholarly
cream,creamy
ruby,ruby
axiom,axiomatic
point,pointed
lime,limy
charm,charming
disease,diseased
autumn,autumnal
cloud,nebulous
burn,burning
bone,bony
phase,phased
comedy,comic
action,active
silk,silky
smell,olfactory
pepper,peppery
sea,marine
math,mathematical
edge,edgy
leisure,idle
evidence,evident
store,stocked
care,careless
end,endless
poet,poetic
youth,youthful
behavior,behavioral
control,dominant
sadness,somber
year,yearly
change,changing
euphony,euphonious
response,responsive
technology,technical
myth,mythic
fish,aquatic
change,mutable
choreography,choreographic
song,sung
chrome,chromatic
law,lawful
church,ecclesiastical
tragedy,tragic
myth,mythical
salt,salty
ridicule,ridiculous
screen,screened
answer,answering
surface,superficial
shield,defensive
love,amorous
square,square
location,located
center,centered
World,Worldwide
airforce,aerospace
freedom,liberated
dance,rhythmic
diamond,adamantine
organization,organized
worth,worthy
level,leveled
