recognizes,recognized
sing,sang
oversleep,overslept
demands,demanded
injure,injured
explain,explained
wear,wore
agree,agreed
asks,asked
weigh,weighed
disassemble,disassembled
waste,wasted
fade,faded
make,made
criticizes,criticized
contrast,contrasted
repay,repaid
preserves,preserved
spends,spent
assesses,assessed
put,put
request,requested
surf,surfed
maintains,maintained
joke,joked
depart,departed
avoid,avoided
keep,kept
greet,greeted
loosen,loosened
wax,waxed
taste,tasted
forgive,forgave
ring,rang
harvest,harvested
spin,spun
upgrade,upgraded
announce,announced
get,got
detest,detested
chop,chopped
steal,stole
pulls,pulled
undo,undid
starts,started
watch,watched
invent,invented
urge,urged
destroys,destroyed
experiment,experimented
damage,damaged
coin,coined
brush,brushed
sells,sold
achieves,achieved
sink,sank
list,listed
smell,smelled
follow,followed
smite,smote
dream,dreamt
post,posted
rely,relied
loses,lost
try,tried
feel,felt
saw,sawed
shout,shouted
sow,sowed
emphasize,emphasized
wring,wrung
stop,stopped
organize,organized
gives,gave
evaluates,evaluated
grin,grinned
download,downloaded
bite,bit
travel,traveled
widen,widened
threaten,threatened
moves,moved
vary,varied
manage,managed
imagine,imagined
drives,drove
ignore,ignored
correct,corrected
arrange,arranged
write,wrote
reign,reigned
cool,cooled
jostle,jostled
divides,divided
use,used
disappear,disappeared
close,closed
whistle,whistled
test,tested
waits,waited
inspect,inspected
warns,warned
mutter,muttered
fax,faxed
buzz,buzzed
matter,mattered
discourage,discouraged
receives,received
retrofit,retrofit
lies,lay
prohibits,prohibited
connect,connected
rid,rid
hold,held
turns,turned
criticize,criticized
lower,lowered
laugh,laughed
influences,influenced
celebrates,celebrated
defy,defied
charge,charged
wishes,wished
obeys,obeyed
buys,bought
arise,arose
awake,awoke
quit,quit
manages,managed
transform,transformed
journey,journeyed
bespeak,bespoke
stands,stood
deal,dealt
function,functioned
compel,compelled
shrive,shrove
holds,held
mow,mowed
upload,uploaded
calms,calmed
snow,snowed
increase,increased
label,labeled
boo,booed
visit,visited
interpret,interpreted
refine,refined
visualizes,visualized
overtake,overtook
foresee,foresaw
stroll,strolled
shape,shaped
slit,slit
spy,spied
code,coded
reads,read
spring,sprang
hurt,hurt
suggest,suggested
describes,described
remember,remembered
present,presented
yearn,yearned
rejects,rejected
looks,looked
preach,preached
go,went
giggle,giggled
warn,warned
monitors,monitored
frown,frowned
bet,bet
require,required
convince,convinced
tells,told
recommends,recommended
plant,planted
tell,told
dirty,dirtied
nag,nagged
nestle,nestled
sleep,slept
describe,described
gossip,gossiped
glue,glued
prepare,prepared
comfort,comforted
chirp,chirped
sketch,sketched
kick,kicked
overwrite,overwrote
shoot,shot
adore,adored
value,valued
wants,wanted
listens,listened
negotiates,negotiated
remake,remade
retreat,retreated
appreciate,appreciated
provides,provided
calculate,calculated
hover,hovered
cleans,cleaned
portray,portrayed
escort,escorted
performs,performed
touches,touched
organizes,organized
reach,reached
resit,resat
push,pushed
affirm,affirmed
acheive,acheived
frustrates,frustrated
stand,stood
type,typed
lie,lay
look,looked
obey,obeyed
possess,possessed
rescue,rescued
assumes,assumed
oppose,opposed
hinder,hindered
end,ended
lift,lifted
oppress,oppressed
embodies,embodied
be,was
builds,built
mistell,mistold
bargain,bargained
chuckle,chuckled
cancel,cancelled
fret,fretted
consider,considered
jumps,jumped
denies,denied
rinse,rinsed
collect,collected
undervalue,undervalued
parade,paraded
bleed,bled
dive,dived
prohibit,prohibited
copy,copied
eliminates,eliminated
hamper,hampered
improves,improved
call,called
farewell,farewelled
pay,paid
meet,met
disagrees,disagreed
undergo,underwent
tread,trod
whet,whetted
drown,drowned
bring,brought
light,lit
repairs,repaired
imagines,imagined
spend,spent
conduct,conducted
exchange,exchanged
iron,ironed
identify,identified
result,resulted
calm,calmed
know,knew
snap,snapped
detests,detested
finds,found
discourages,discouraged
fall,fell
delay,delayed
strengthen,strengthened
jumble,jumbled
calls,called
overcome,overcame
rewind,rewound
shouts,shouted
create,created
estimates,estimated
cheat,cheated
duplicate,duplicated
rise,rose
remove,removed
melt,melted
detect,detected
fancy,fancied
jeopardize,jeopardized
come,came
want,wanted
subtract,subtracted
jail,jailed
advise,advised
negotiate,negotiated
miss,missed
aid,aided
love,loved
fold,folded
stir,stirred
sparkle,sparkled
laughs,laughed
seeks,sought
hate,hated
relate,related
earn,earned
hit,hit
update,updated
replace,replaced
progress,progressed
die,died
console,consoled
aim,aimed
defends,defended
dance,danced
dart,darted
encourage,encouraged
narrow,narrowed
cry,cried
say,said
explore,explored
elaborate,elaborated
modify,modified
let,let
heap,heaped
scream,screamed
fears,feared
motivates,motivated
refuses,refused
rebuild,rebuilt
exerts,exerted
compare,compared
swear,swore
creates,created
wait,waited
walk,walked
contributes,contributed
exists,existed
fulfills,fulfilled
gamble,gambled
freeze,froze
inlay,inlaid
carol,caroled
handle,handled
object,objected
study,studied
supplies,supplied
drag,dragged
recommend,recommended
weave,wove
presents,presented
include,included
impress,impressed
challenges,challenged
slide,slid
investigates,investigated
communicate,communicated
annoy,annoyed
gather,gathered
tie,tied
hides,hid
sacrifices,sacrificed
find,found
print,printed
believe,believed
obtain,obtained
crack,cracked
sting,stung
rerun,reran
hang,hung
allows,allowed
question,questioned
multiplies,multiplied
indicate,indicated
ache,ached
occur,occurred
store,stored
eat,ate
introduce,introduced
arranges,arranged
establishes,established
float,floated
curse,cursed
determine,determined
attend,attended
hates,hated
give,gave
suspects,suspected
claim,claimed
pays,paid
influence,influenced
worsen,worsened
hear,heard
begin,began
establish,established
finish,finished
feels,felt
bid,bade
undertake,undertook
arrives,arrived
photograph,photographed
praise,praised
play,played
weaken,weakened
distribute,distributed
mention,mentioned
phone,phoned
mistake,mistook
thinks,thought
envisions,envisioned
overcomes,overcame
water,watered
sneak,sneaked
mold,molded
eats,ate
govern,governed
suppose,supposed
split,split
introduces,introduced
explains,explained
balance,balanced
handles,handled
sew,sewed
rumble,rumbled
regulate,regulated
invest,invested
recall,recalled
drinks,drank
wears,wore
rotate,rotated
record,recorded
worsens,worsened
worries,worried
prevents,prevented
approves,approved
crackle,crackled
farm,farmed
cure,cured
telecast,telecast
leap,leapt
fixes,fixed
model,modelled
reform,reformed
undermines,undermined
enables,enabled
combine,combined
breathe,breathed
wield,wielded
faces,faced
murmur,murmured
mocks,mocked
shows,showed
disconnect,disconnected
provide,provided
dances,danced
quote,quoted
uphold,upheld
withstand,withstood
carries,carried
disapproves,disapproved
closes,closed
plan,planned
changes,changed
buy,bought
remembers,remembered
encourages,encouraged
tests,tested
distracts,distracted
grip,gripped
harass,harassed
wonder,wondered
swim,swam
solve,solved
adores,adored
suffer,suffered
hide,hid
understands,understood
sit,sat
reset,reset
feed,fed
lean,leant
wander,wandered
surrender,surrendered
save,saved
dislike,disliked
measure,measured
slay,slew
quaff,quaffed
applaud,applauded
solves,solved
speaks,spoke
rethink,rethought
breaks,broke
participate,participated
race,raced
stick,stuck
choose,chose
harm,harmed
heave,hove
harnesses,harnessed
gram,grammed
grows,grew
envision,envisioned
drive,drove
fight,fought
gain,gained
lend,lent
cross,crossed
cost,cost
design,designed
highlights,highlighted
admits,admitted
ask,asked
liberate,liberated
knit,knitted
fly,flew
travel,travelled
withdraw,withdrew
advances,advanced
drops,dropped
hope,hoped
agrees,agreed
challenge,challenged
sunburn,sunburned
input,input
relies,relied
assume,assumed
trust,trusted
understand,understood
sings,sang
burst,burst
bestride,bestrode
can,could
provokes,provoked
compute,computed
cancels,canceled
observe,observed
bores,bored
work,worked
pushes,pushed
guide,guided
rend,rent
spell,spelled
debate,debated
sits,sat
desire,desired
summarize,summarized
instruct,instructed
cook,cooked
paint,painted
spread,spread
comb,combed
creak,creaked
inset,inset
stare,stared
enjoy,enjoyed
mean,meant
reduce,reduced
confront,confronted
likes,liked
preserve,preserved
prays,prayed
throw,threw
typeset,typeset
wobble,wobbled
overhear,overheard
see,saw
gaze,gazed
run,ran
attacks,attacked
acquire,acquired
flee,fled
tear,tore
searches,searched
strive,strove
convert,converted
climb,climbed
expect,expected
beset,beset
plans,planned
controls,controlled
cherish,cherished
narrate,narrated
glow,glowed
slink,slunk
cleave,cleft
signal,signaled
arouses,aroused
deepen,deepened
respond,responded
pray,prayed
blink,blinked
counterfeit,counterfeited
knock,knocked
worry,worried
blend,blended
seal,sealed
discuss,discussed
order,ordered
ignores,ignored
share,shared
splash,splashed
drip,dripped
tag,tagged
promotes,promoted
increases,increased
polish,polished
repair,repaired
persuade,persuaded
zoom,zoomed
writes,wrote
continues,continued
exist,existed
decrease,decreased
realize,realized
burn,burnt
shed,shed
vex,vexed
bury,buried
knows,knew
touch,touched
protect,protected
allow,allowed
plays,played
sees,saw
cries,cried
shiver,shivered
forgets,forgot
detach,detached
thrust,thrust
sightsee,sightseewd
select,selected
adds,added
rent,rented
assist,assisted
equal,equaled
achieve,achieved
omit,omitted
defer,deferred
clear,cleared
enjoys,enjoyed
clean,cleaned
graft,grafted
judge,judged
flutter,fluttered
mutate,mutated
beseech,besought
divide,divided
live,lived
speed,sped
set,set
break,broke
dash,dashed
am,was
defend,defended
respect,respected
does,did
inspire,inspired
offer,offered
develops,developed
export,exported
marry,married
lament,lamented
blame,blamed
spill,spilt
belong,belonged
collaborates,collaborated
await,awaited
release,released
enter,entered
dug,dug
attack,attacked
name,named
fail,failed
motivate,motivated
dare,dared
subtracts,subtracted
despise,despised
obstruct,obstructed
acknowledges,acknowledged
destroy,destroyed
ride,rode
brings,brought
swims,swam
institute,instituted
confer,conferred
deplete,depleted
complete,completed
jam,jammed
heal,healed
analyze,analyzed
proofread,proofread
broadcast,broadcast
untie,untied
pump,pumped
string,strung
adapts,adapted
prevent,prevented
partake,partook
stink,stank
deny,denied
behold,beheld
pause,paused
learn,learnt
rejoice,rejoiced
reflects,reflected
bore,bored
remain,remained
show,showed
surprise,surprised
climbs,climbed
fling,flung
finishes,finished
help,helped
rides,rode
shrink,shrank
spoil,spoiled
proposes,proposed
treat,treated
inspires,inspired
forsake,forsook
beware,beware
shoe,shod
rally,rallied
operate,operated
confirm,confirmed
mourn,mourned
talk,talked
publish,published
vanishes,vanished
level,levelled
secure,secured
overdo,overdid
conserve,conserved
demand,demanded
endure,endured
profit,profited
adapt,adapted
are,were
disprove,disproved
think,thought
decelerate,decelerated
learn,learned
knit,knit
shorten,shortened
trade,traded
compiles,compiled
engrave,engraved
attach,attached
endanger,endangered
hurry,hurried
view,viewed
complain,complained
pull,pulled
translate,translated
admire,admired
disobey,disobeyed
abolish,abolished
requires,required
remind,reminded
remit,remitted
cooks,cooked
express,expressed
validate,validated
forecast,forecasted
stride,strode
prove,proved
navigates,navigated
risk,risked
count,counted
distrust,distrusted
mix,mixed
patrol,patrolled
volunteer,volunteered
practice,practiced
film,filmed
clap,clapped
recognize,recognized
completes,completed
demonstrate,demonstrated
resend,resent
educate,educated
fix,fixed
protects,protected
tweet,tweeted
restores,restored
heat,heated
sweat,sweated
compose,composed
mirror,mirrored
deteriorate,deteriorated
repeat,repeated
compete,competed
promises,promised
abide,abode
bother,bothered
tighten,tightened
yield,yielded
accept,accepted
amazes,amazed
wish,wished
estimate,estimated
form,formed
approve,approved
flies,flew
kneel,knelt
happen,happened
thrive,throve
depict,depicted
change,changed
halt,halted
importune,importuned
place,placed
fails,failed
sleeps,slept
expects,expected
prefer,preferred
stretch,stretched
bloom,bloomed
take,took
teaches,taught
do,did
smells,smelled
disappoints,disappointed
cultivates,cultivated
convey,conveyed
shallow,shallowed
glide,glided
leave,left
watches,watched
text,texted
ding,dong
offset,offset
hears,heard
drop,dropped
add,added
strike,struck
opens,opened
grow,grew
drink,drank
lose,lost
works,worked
bereave,bereaved
define,defined
shall,should
lay,laid
integrates,integrated
munch,munched
is,was
answer,answered
disagree,disagreed
rule,ruled
face,faced
grab,grabbed
tastes,tasted
confirms,confirmed
tremble,trembled
respects,respected
yawn,yawned
cause,caused
insults,insulted
maintain,maintained
smell,smelt
shop,shopped
forget,forgot
fire,fired
bless,blessed
crown,crowned
explode,exploded
leaves,left
donate,donated
examine,examined
ravage,ravaged
wash,washed
upset,upset
exclude,excluded
observes,observed
believes,believed
meditate,meditated
swing,swung
dominates,dominated
guard,guarded
win,won
appear,appeared
dwell,dwelt
demotivates,demotivated
fasten,fastened
force,forced
reflect,reflected
sling,slung
pour,poured
control,controlled
regret,regretted
withhold,withheld
grant,granted
ensue,ensued
dreams,dreamed
fit,fit
forecast,forecast
hew,hewed
shut,shut
admires,admired
have,had
relaxes,relaxed
press,pressed
chide,chid
imply,implied
smile,smiled
mishear,misheard
deliver,delivered
carry,carried
hurts,hurt
adjust,adjusted
wins,won
demolish,demolished
hire,hired
fear,feared
participates,participated
pack,packed
recast,recast
improve,improved
commit,committed
swell,swelled
beg,begged
chooses,chose
reaches,reached
dry,dried
succeed,succeeded
underline,underlined
permit,permitted
excites,excited
flip,flipped
walks,walked
betrays,betrayed
doubt,doubted
jog,jogged
evolve,evolved
beat,beat
bereave,bereft
multiply,multiplied
advance,advanced
divorce,divorced
boil,boiled
imitate,imitated
answers,answered
dive,dove
mentions,mentioned
approach,approached
justify,justified
misunderstand,misunderstood
bounce,bounced
allot,allotted
notice,noticed
incorporates,incorporated
need,needed
alight,alit
bake,baked
overcast,overcast
raze,razed
chew,chewed
vanish,vanished
accumulates,accumulated
needs,needed
thrive,thrived
resolve,resolved
blog,blogged
stops,stopped
empty,emptied
owes,owed
read,read
expand,expanded
open,opened
linger,lingered
send,sent
beget,begot
proves,proved
tap,tapped
wrinkle,wrinkled
decides,decided
misses,missed
bathe,bathed
develop,developed
paddle,paddled
move,moved
itch,itched
weep,wept
discovers,discovered
reveals,revealed
reveal,revealed
allocates,allocated
demonstrates,demonstrated
search,searched
kill,killed
bleat,bleated
celebrate,celebrated
wind,wound
mark,marked
edit,edited
teach,taught
carve,carved
stumble,stumbled
retell,retold
haggle,haggled
overlook,overlooked
become,became
decline,declined
cast,cast
shine,shone
accelerate,accelerated
haunt,haunted
clip,clipped
glean,gleaned
cancel,canceled
earns,earned
smoke,smoked
comforts,comforted
construct,constructed
attracts,attracted
jump,jumped
dress,dressed
refer,referred
affect,affected
learns,learned
disrespect,disrespected
coach,coached
flap,flapped
decide,decided
verify,verified
underlie,underlay
waylay,waylaid
resist,resisted
declare,declared
refuse,refused
enrich,enriched
twist,twisted
turn,turned
loves,loved
spell,spelt
act,acted
parry,parried
will,would
demote,demoted
fluctuate,fluctuated
found,founded
defies,defied
exercise,exercised
soar,soared
queue,queued
annoys,annoyed
whisper,whispered
terrify,terrified
apply,applied
decreases,decreased
intend,intended
cut,cut
excel,excelled
whispers,whispered
hatch,hatched
accepts,accepted
counts,counted
care,cared
catch,caught
renovate,renovated
sigh,sighed
punish,punished
fare,fared
draw,drew
dislikes,disliked
promise,promised
fry,fried
react,reacted
restore,restored
wed,wed
extend,extended
hunt,hunted
appears,appeared
choke,choked
befall,befell
produce,produced
shake,shook
investigate,investigated
bear,bore
relax,relaxed
land,landed
concern,concerned
dig,dug
supports,supported
cures,cured
invites,invited
bind,bound
exhibits,exhibited
erect,erected
diminish,diminished
command,commanded
transforms,transformed
grind,ground
employ,employed
start,started
spill,spilled
nurse,nursed
burn,burned
sculpt,sculpted
equip,equipped
consent,consented
struggle,struggled
continue,continued
visits,visited
shrinks,shrank
import,imported
argue,argued
cough,coughed
blow,blew
sails,sailed
dream,dreamed
saves,saved
avoids,avoided
wake,waked
abandon,abandoned
reject,rejected
seek,sought
supply,supplied
dye,dyed
discover,discovered
utilize,utilized
seem,seemed
park,parked
suggests,suggested
creep,crept
perceives,perceived
manipulate,manipulated
recollect,recollected
focus,focused
pleases,pleased
rain,rained
quake,quaked
skip,skipped
forbid,forbade
direct,directed
grants,granted
wail,wailed
questions,questioned
nod,nodded
gild,gilded
renew,renewed
receive,received
stay,stayed
advises,advised
promote,promoted
breed,bred
sneak,snuck
hopes,hoped
exit,exited
email,emailed
check,checked
build,built
serve,served
flash,flashed
concur,concurred
own,owned
behave,behaved
wake,woke
neglect,neglected
borrow,borrowed
perform,performed
skywrite,skywrote
cling,clung
adopt,adopted
sweep,swept
needle,needled
chase,chased
sip,sipped
threatens,threatened
foretell,foretold
succeeds,succeeded
conceals,concealed
bend,bent
interweave,interwove
speak,spoke
sustain,sustained
cheer,cheered
wet,wet
unfold,unfolded
crawl,crawled
excels,excelled
punch,punched
lead,led
separate,separated
raise,raised
wastes,wasted
mislead,misled
fake,faked
juggle,juggled
confesses,confessed
substitute,substituted
propose,proposed
listen,listened
calculates,calculated
doubts,doubted
attends,attended
overflow,overflowed
reward,rewarded
sell,sold
pass,passed
returns,returned
state,stated
assemble,assembled
torment,tormented
arrive,arrived
runs,ran
helps,helped
support,supported
mentor,mentored
like,liked
