recognize,recognizes
vindicate,vindicates
cool,cools
exclude,excludes
complain,complains
guide,guides
We codify,It codifies
rule,rules
concentrate,concentrates
theorize,theorizes
explore,explores
suspect,suspects
You cling,She clings
spice,spices
coach,coaches
identify,identifies
lunch,lunches
invert,inverts
talk,talks
mold,molds
sway,sways
grind,grinds
ban,bans
mow,mows
I frown,He frowns
say,says
We beautify,It beautifies
ascend,ascends
chase,chases
render,renders
cover,covers
change,changes
divorce,divorces
grab,grabs
I assert,He asserts
vanish,vanishes
empower,empowers
tie,ties
oversee,oversees
I guide,He guides
approve,approves
bluff,bluffs
choose,chooses
react,reacts
irritate,irritates
rebuild,rebuilds
dodge,dodges
complete,completes
distort,distorts
I have,He has
You see,She sees
demonstrate,demonstrates
decide,decides
I focus,She focuses
comb,combs
expect,expects
I reveal,It reveals
acknowledge,acknowledges
synchronize,synchronizes
contest,contests
stammer,stammers
giggle,giggles
refocus,refocuses
crunch,crunches
export,exports
hear,hears
deliver,delivers
I analyse,She analyses
match,matches
enable,enables
bury,buries
design,designs
swap,swaps
clean,cleans
get,gets
dismantle,dismantles
dispose,disposes
We sing,It sings
risk,risks
impose,imposes
swell,swells
work,works
ensure,ensures
analyze,analyzes
minimize,minimizes
pace,paces
bestow,bestows
reuse,reuses
color,colors
I conduct,It conducts
accelerate,accelerates
agree,agrees
traverse,traverses
confine,confines
oppose,opposes
love,loves
remake,remakes
I attack,He attacks
rise,rises
handle,handles
row,rows
search,searches
dissolve,dissolves
act,acts
assume,assumes
I coordinate,It coordinates
harm,harms
mentor,mentors
affirm,affirms
call,calls
report,reports
bill,bills
thing,things
celebrate,celebrates
limit,limits
I blossom,She blossoms
develop,develops
manufacture,manufactures
duplicate,duplicates
corrupt,corrupts
accentuate,accentuates
I alter,He alters
I motivate,It motivates
tame,tames
inform,informs
summarize,summarizes
install,installs
dismiss,dismisses
smell,smells
invent,invents
have,has
resurface,resurfaces
cling,clings
speak,speaks
stage,stages
synthesize,synthesizes
steer,steers
I follow,He follows
exaggerate,exaggerates
mark,marks
We check,It checks
attain,attains
select,selects
We bind,It binds
We slid,It slides
urge,urges
recite,recites
perform,performs
optimize,optimizes
drain,drains
recycle,recycles
notice,notices
surmise,surmises
I assist,He assists
conceptualize,conceptualizes
I develop,It develops
hide,hides
open,opens
retreat,retreats
grasp,grasps
recapture,recaptures
confiscate,confiscates
haul,hauls
treat,treats
reign,reigns
imitate,imitates
resize,resizes
illustrate,illustrates
introduce,introduces
mention,mentions
zigzags,zigzag
separate,separates
We find,It finds
constitute,constitutes
I instruct,He instructs
leave,leaves
awaken,awakens
overlook,overlooks
sew,sews
restore,restores
apply,applies
trace,traces
shimmer,shimmers
dwindle,dwindles
qualify,qualifies
flower,flowers
bee,bees
fudge,fudges
mine,mines
We snatch,It snatches
consider,considers
receive,receives
confirm,confirms
We clink,It clinks
run,runs
elect,elects
form,forms
envision,envisions
I forbid,He forbids
disclose,discloses
rip,rips
ship,ships
rationalize,rationalizes
live,lives
populate,populates
We outbid,It outbids
organize,organizes
propose,proposes
obey,obeys
I care,He cares
hook,hooks
doubt,doubts
I change,It changes
engage,engages
connect,connects
adhere,adheres
amuse,amuses
process,processes
diminish,diminishes
establish,establishes
log,logs
prance,prances
update,updates
flash,flashes
flee,flees
I act,She acts
model,models
languish,languishes
conform,conforms
whisper,whispers
curb,curbs
I resolve,She resolves
shake,shakes
manage,manages
I administer,He administers
like,likes
alleviate,alleviates
weaken,weakens
scatter,scatters
You yank,She yanks
marry,marries
steal,steals
depreciate,depreciates
confide,confides
advise,advises
scroll,scrolls
consult,consults
chuckle,chuckles
I study,He studies
We vomit,It vomits
I seem,He seems
partake,partakes
deflate,deflates
mobilize,mobilizes
I oversee,She oversees
We ring,It rings
compensate,compensates
arouse,arouses
batter,batters
lament,laments
regret,regrets
delay,delays
validate,validates
disburse,disburses
codify,codifies
travel,travels
We chalk,It chalks
I offer,She offers
wish,wishes
mend,mends
I hatch,He hatches
ignite,ignites
listen,listens
cultivate,cultivates
implore,implores
We satisfy,It satisfies
contrast,contrasts
cake,cakes
We wish,It wishes
hire,hires
diverge,diverges
fry,fries
frame,frames
defy,defies
condemn,condemns
cruise,cruises
prove,proves
refract,refracts
We electrify,It electrifies
squeeze,squeezes
darken,darkens
block,blocks
flaunt,flaunts
lunge,lunges
I stop,He stops
entrust,entrusts
hit,hits
I defy,He defies
permit,permits
surface,surfaces
We swing,It swings
remember,remembers
dig,digs
aspire,aspires
descend,descends
enter,enters
reside,resides
You crush,She crushes
kick,kicks
collide,collides
revive,revives
ache,aches
apologize,apologizes
knit,knits
derive,derives
accomplish,accomplishes
frustrate,frustrates
You permit,She permits
close,closes
presume,presumes
cross,crosses
wait,waits
I contribute,It contributes
experiment,experiments
You stalk,She stalks
preserve,preserves
accent,accents
decompress,decompresses
awake,awakes
I cease,It ceases
hurry,hurries
pretend,pretends
protest,protests
captivate,captivates
crowd,crowds
I thank,He thanks
cherish,cherishes
I benefit,He benefits
expand,expands
utilize,utilizes
feel,feels
progress,progresses
devalue,devalues
You hawk,She hawks
route,routes
discipline,disciplines
press,presses
breed,breeds
thank,thanks
texture,textures
convince,convinces
collaborate,collaborates
We start,It starts
rescue,rescues
I handle,She handles
buy,buys
We sling,It slings
try,tries
disappoint,disappoints
renew,renews
audit,audits
allocate,allocates
surf,surfs
pipe,pipes
serialize,serializes
support,supports
add,adds
publish,publishes
I dash,He dashes
rejoice,rejoices
boast,boasts
I hope,She hopes
attract,attracts
deliberate,deliberates
test,tests
burn,burns
We come,It comes
refrain,refrains
deceive,deceives
You unpack,She unpacks
resell,resells
befall,befalls
scan,scans
You desist,She desists
cage,cages
assure,assures
miss,misses
supervise,supervises
defend,defends
accept,accepts
watch,watches
I listen,It listens
interpret,interprets
bloom,blooms
I organize,It organizes
resume,resumes
nourish,nourishes
I believe,It believes
accuse,accuses
underestimate,underestimates
emanate,emanates
twin,twins
You quick,She quicks
paint,paints
count,counts
buzz,buzzes
activate,activates
preside,presides
commence,commences
attribute,attributes
refine,refines
I consist,He consists
bulge,bulges
digest,digests
appoint,appoints
telegraph,telegraphs
wield,wields
administrate,administrates
brighten,brightens
use,uses
I contribute,He contributes
strengthen,strengthens
relate,relates
interrupt,interrupts
paw,paws
smash,smashes
dedicate,dedicates
float,floats
tree,trees
joke,jokes
challenge,challenges
suspend,suspends
schedule,schedules
blow,blows
bathe,bathes
innovate,innovates
I notify,He notifies
frown,frowns
We did,It does
succeed,succeeds
reserve,reserves
I mean,He means
claw,claws
invite,invites
signify,signifies
You hate,She hates
I advise,It advises
scare,scares
You starch,She starches
We assist,It assists
specialize,specializes
stop,stops
I wonder,She wonders
rile,riles
integrate,integrates
unite,unites
control,controls
pray,prays
realize,realizes
kill,kills
proceed,proceeds
combine,combines
underline,underlines
spark,sparks
rehearse,rehearses
insert,inserts
melt,melts
chop,chops
You read,She reads
seethe,seethes
fizz,fizzes
laugh,laughs
require,requires
wink,winks
We justify,It justifies
I eat,He eats
adjust,adjusts
conceive,conceives
strange,stranges
glimpse,glimpses
write,writes
evince,evinces
assent,assents
disable,disables
You sting,She stings
We pick,It picks
I grin,He grins
bike,bikes
I tutor,She tutors
fix,fixes
concern,concerns
rush,rushes
I push,He pushes
gain,gains
yearn,yearns
blur,blurs
wear,wears
I feel,It feels
You kick,She kicks
glow,glows
define,defines
correspond,corresponds
boot,boots
wonder,wonders
I exist,He exists
cite,cites
influence,influences
resonate,resonates
state,states
crab,crabs
fly,flies
share,shares
defiance,defiances
plant,plants
need,needs
counsel,counsels
fantasize,fantasizes
seem,seems
convert,converts
spin,spins
pronounce,pronounces
skip,skips
quarrel,quarrels
cleanse,cleanses
train,trains
chart,charts
We submit,It submits
suppose,supposes
I work,It works
reinforce,reinforces
I progress,She progresses
astonish,astonishes
designate,designates
upset,upsets
segregate,segregates
hug,hugs
You grind,She grinds
writhe,writhes
fail,fails
bind,binds
end,ends
found,founds
discharge,discharges
protect,protects
I question,He questions
itemize,itemizes
I emit,He emits
confront,confronts
graph,graphs
scratch,scratches
extend,extends
regenerate,regenerates
mediate,mediates
charge,charges
You imply,She implies
I know,He knows
scrounge,scrounges
I change,She changes
belong,belongs
deduce,deduces
devise,devises
erupt,erupts
liquidate,liquidates
spell,spells
diffuse,diffuses
recover,recovers
communicate,communicates
I shrink,He shrinks
evaluate,evaluates
collect,collects
We brick,It bricks
humanize,humanizes
clear,clears
divide,divides
restock,restocks
shift,shifts
repaint,repaints
mourn,mourns
carry,carries
We remit,It remits
lay,lays
juggle,juggles
participate,participates
cache,caches
I watch,He watches
renovate,renovates
We persist,It persists
pause,pauses
stretch,stretches
free,frees
decay,decays
indicate,indicates
I walk,She walks
claim,claims
dirty,dirties
I go,He goes
facilitate,facilitates
regard,regards
I research,It researches
I drink,It drinks
increase,increases
code,codes
tease,teases
I write,It writes
I cook,He cooks
ring,rings
age,ages
cancel,cancels
gnaw,gnaws
join,joins
convict,convicts
transform,transforms
displace,displaces
ascertain,ascertains
submerge,submerges
correlate,correlates
disprove,disproves
expire,expires
annotate,annotates
allay,allays
You skid,She skids
conquer,conquers
buffer,buffers
resist,resists
delete,deletes
relinquish,relinquishes
drape,drapes
point,points
hammer,hammers
wake,wakes
distribute,distributes
You slid,She slides
vote,votes
thrive,thrives
We crash,It crashes
disrupt,disrupts
strive,strives
obfuscate,obfuscates
We hope,It hopes
contradict,contradicts
escalate,escalates
desire,desires
dominate,dominates
I think,He thinks
I learn,She learns
encourage,encourages
bud,buds
ride,rides
occur,occurs
achieve,achieves
lose,loses
put,puts
detect,detects
You worry,She worries
I supervise,He supervises
sing,sings
adore,adores
present,presents
generalize,generalizes
We gawk,It gawks
break,breaks
implant,implants
bore,bores
satisfy,satisfies
decompose,decomposes
I team,She teams
iron,irons
harmonize,harmonizes
translate,translates
express,expresses
I win,She wins
die,dies
link,links
conjecture,conjectures
You specify,She specifies
postpone,postpones
operate,operates
spend,spends
approximate,approximates
I teach,It teaches
ask,asks
halt,halts
transfer,transfers
I consult,He consults
recommend,recommends
reimagine,reimagines
I eat,She eats
We shook,It shooks
You try,She tries
whiz,whizzes
demotivate,demotivates
I sing,He sings
lift,lifts
yield,yields
order,orders
repeat,repeats
dare,dares
browse,browses
send,sends
xerox,xeroxes
append,appends
automate,automates
I understand,It understands
soothe,soothes
inflict,inflicts
anger,angers
You need,She needs
suffer,suffers
We learn,It learns
soak,soaks
dine,dines
deter,deters
chance,chances
flit,flits
fine,fines
collapse,collapses
drill,drills
You insist,She insists
hallucinate,hallucinates
photograph,photographs
compress,compresses
stir,stirs
relax,relaxes
trawl,trawls
remaster,remasters
You scratch,She scratches
I magnify,He magnifies
I tackle,He tackles
swipe,swipes
dart,darts
deserve,deserves
dish,dishes
I participate,She participates
You get,She gets
announce,announces
echo,echoes
normalize,normalizes
disagree,disagrees
I grow,He grows
I deify,He deifies
You show,She shows
abuse,abuses
administer,administers
solve,solves
think,thinks
coagulate,coagulates
assert,asserts
hop,hops
trade,trades
You ask,She asks
discover,discovers
contemplate,contemplates
understand,understands
analyse,analyzes
cope,copes
pacify,pacifies
I stink,He stinks
delegate,delegates
sleep,sleeps
contribute,contributes
reject,rejects
execute,executes
draw,draws
boil,boils
rewrite,rewrites
let,lets
grope,gropes
quote,quotes
zip,zips
exercise,exercises
rollback,rollbacks
I function,He functions
toil,toils
decree,decrees
devour,devours
dislike,dislikes
prefer,prefers
You qualify,She qualifies
object,objects
bite,bites
memorize,memorizes
dress,dresses
churn,churns
look,looks
bounce,bounces
dictate,dictates
sustain,sustains
adopt,adopts
admire,admires
portray,portrays
rethink,rethinks
lower,lowers
articulate,articulates
retell,retells
I explore,She explores
We chid,It chides
eliminate,eliminates
I practice,He practices
value,values
tap,taps
I move,She moves
cough,coughs
sift,sifts
I launch,He launches
considerate,considerates
I imagine,It imagines
voice,voices
You drink,She drinks
You hid,She hides
implement,implements
wave,waves
show,shows
demand,demands
jump,jumps
abstract,abstracts
tax,taxes
impact,impacts
kiss,kisses
hew,hews
pan,pans
I examine,She examines
slide,slides
nestle,nestles
align,aligns
I rush,He rushes
I invest,It invests
gather,gathers
I improve,He improves
reflect,reflects
compose,composes
go,goes
I update,She updates
convulse,convulses
We bank,It banks
remove,removes
I conclude,It concludes
undermine,undermines
borrow,borrows
consist,consists
adapt,adapts
redraw,redraws
slice,slices
smoke,smokes
agitate,agitates
I dance,She dances
energize,energizes
I laugh,He laughs
You transmit,She transmits
direct,directs
cease,ceases
reveal,reveals
I aim,She aims
invest,invests
hurt,hurts
commit,commits
hope,hopes
play,plays
elaborate,elaborates
I plan,She plans
mop,mops
You blink,She blinks
document,documents
aggregate,aggregates
I wreck,He wrecks
supply,supplies
estimate,estimates
command,commands
label,labels
migrate,migrates
comfort,comforts
hate,hates
testify,testifies
study,studies
simplify,simplifies
tire,tires
judge,judges
numb,numbs
transition,transitions
credit,credits
contain,contains
categorize,categorizes
improvise,improvises
elucidate,elucidates
lance,lances
I adapt,He adapts
liberate,liberates
criticize,criticizes
sell,sells
raise,raises
type,types
concur,concurs
snare,snares
wax,waxes
balance,balances
engineer,engineers
curtail,curtails
comply,complies
stabilize,stabilizes
sedge,sedges
locate,locates
I solve,He solves
stall,stalls
represent,represents
forget,forgets
loosen,loosens
We clarify,It clarifies
You keep,She keeps
betray,betrays
reminisce,reminisces
terrify,terrifies
glance,glances
see,sees
agonize,agonizes
crash,crashes
manipulate,manipulates
flutter,flutters
segment,segments
apprehend,apprehends
I begin,She begins
characterize,characterizes
cost,costs
refuse,refuses
bark,barks
find,finds
read,reads
pour,pours
authorize,authorizes
I express,It expresses
worry,worries
describe,describes
save,saves
do,does
knock,knocks
package,packages
retire,retires
We marry,It marries
stream,streams
saw,saws
date,dates
structure,structures
pledge,pledges
approach,approaches
sacrifice,sacrifices
greet,greets
dazzle,dazzles
excite,excites
brush,brushes
yodel,yodels
blossom,blossoms
purchase,purchases
I support,She supports
catch,catches
compile,compiles
address,addresses
attend,attends
dive,dives
pivot,pivots
advocate,advocates
practice,practices
lope,lopes
trivialize,trivializes
precede,precedes
isolate,isolates
bowl,bowls
cry,cries
repair,repairs
clarify,clarifies
falsify,falsifies
I bring,He brings
I revise,It revises
I believe,She believes
amplify,amplifies
I claim,She claims
motivate,motivates
dream,dreams
earn,earns
preach,preaches
I depend,It depends
overcome,overcomes
slow,slows
conceal,conceals
I produce,It produces
You feel,She feels
discriminate,discriminates
discuss,discusses
verify,verifies
We write,It writes
I run,It runs
I paint,He paints
dwell,dwells
crawl,crawls
bleed,bleeds
arrange,arranges
bomb,bombs
chronicle,chronicles
ice,ices
mirror,mirrors
entertain,entertains
donate,donates
sentence,sentences
specify,specifies
examine,examines
We click,It clicks
explain,explains
nice,nices
sow,sows
swing,swings
You flick,She flicks
investigate,investigates
continue,continues
diagnose,diagnoses
mix,mixes
display,displays
blast,blasts
consign,consigns
stay,stays
hash,hashes
I talk,He talks
determine,determines
subtract,subtracts
shrink,shrinks
camouflage,camouflages
I trust,He trusts
pinch,pinches
You identify,She identifies
harvest,harvests
creep,creeps
bring,brings
denounce,denounces
pack,packs
shout,shouts
We stand,It stands
anticipate,anticipates
ferment,ferments
haunt,haunts
picture,pictures
forbid,forbids
I design,He designs
exist,exists
I refine,She refines
appear,appears
rectify,rectifies
burden,burdens
prescribe,prescribes
know,knows
wrap,wraps
I negotiate,He negotiates
convey,conveys
wet,wets
program,programs
conduct,conducts
illuminate,illuminates
wobble,wobbles
devote,devotes
resent,resents
saint,saints
erase,erases
vie,vies
omit,omits
access,accesses
seat,seats
decrypt,decrypts
perch,perches
excuse,excuses
analyse,analyses
I aid,It aids
observe,observes
remedy,remedies
beg,begs
dance,dances
function,functions
freeze,freezes
decrease,decreases
sort,sorts
rank,ranks
portend,portends
query,queries
differentiate,differentiates
I look,He looks
import,imports
grade,grades
I coach,It coaches
defeat,defeats
ball,balls
lace,laces
advertise,advertises
deposit,deposits
conserve,conserves
happen,happens
imagine,imagines
obtain,obtains
I sleep,He sleeps
rely,relies
renounce,renounces
prevent,prevents
project,projects
confess,confesses
morph,morphs
pay,pays
sink,sinks
calm,calms
resolve,resolves
hover,hovers
budge,budges
I create,He creates
console,consoles
sneeze,sneezes
rest,rests
encrypt,encrypts
want,wants
recall,recalls
be,is
I taste,It tastes
venerate,venerates
We do,It does
I request,He requests
suggest,suggests
symbolize,symbolizes
lead,leads
assist,assists
radiate,radiates
load,loads
chore,chores
condense,condenses
drop,drops
tolerate,tolerates
charm,charms
maximize,maximizes
I commit,He commits
rent,rents
generate,generates
spy,spies
recast,recasts
request,requests
cooperate,cooperates
meditate,meditates
withstand,withstands
I support,It supports
cycle,cycles
detain,detains
wash,washes
fuse,fuses
hold,holds
You deck,She decks
