demolishes,will demolish
shift,will shift
pushes,will push
severs,will sever
identifies,will identify
deceives,will deceive
upgrades,will upgrade
confuses,will confuse
relies,will rely
swim,will swim
excels,will excel
shakes,will shake
melts,will melt
camouflages,will camouflage
defers,will defer
win,will win
designs,will design
invests,will invest
nest,will nest
declares,will declare
weaken,will weaken
wins,will win
hum,will hum
debugs,will debug
lecture,will lecture
close,will close
dominates,will dominate
advertises,will advertise
ranks,will rank
searches,will search
honors,will honor
note,will note
obstructs,will obstruct
skips,will skip
grasp,will grasp
massage,will massage
import,will import
grumbles,will grumble
pretends,will pretend
carries,will carry
decides,will decide
allow,will allow
desires,will desire
projects,will project
runs,will run
cooperates,will cooperate
symphosizes,will symphosize
facilitate,will facilitate
answers,will answer
govern,will govern
interferes,will interfere
prepares,will prepare
predicts,will predict
nod,will nod
rules,will rule
descend,will descend
freezes,will freeze
disprove,will disprove
reveals,will reveal
reveal,will reveal
expand,will expand
dates,will date
cramps,will cramp
play,will play
carry,will carry
prevents,will prevent
undertakes,will undertake
consumes,will consume
relocates,will relocate
integrates,will integrate
begin,will begin
attempts,will attempt
persists,will persist
respects,will respect
impacts,will impact
guarantees,will guarantee
follows,will follow
guard,will guard
share,will share
penalizes,will penalize
sets,will set
redesigns,will redesign
cuts,will cut
inherit,will inherit
directs,will direct
leaves,will leave
accompanies,will accompany
invites,will invite
legislate,will legislate
arrive,will arrive
drag,will drag
resolve,will resolve
analyzes,will analyze
downloads,will download
supplies,will supply
clowns,will clown
analyze,will analyze
annoys,will annoy
empower,will empower
diminish,will diminish
remixes,will remix
research,will research
jumps,will jump
mobilizes,will mobilize
tears,will tear
affects,will affect
causes,will cause
nick,will nick
speaks,will speak
handles,will handle
helps,is going to help
empowers,will empower
participates,will participate
lightnings,will lighten
wilts,will wilt
waits,will wait
treasures,will treasure
doubts,will doubt
fights,will fight
recovers,will recover
imprisons,will imprison
attacks,will attack
cites,will cite
secures,will secure
litter,will litter
unearths,will unearth
hinders,will hinder
arranges,will arrange
guards,will guard
congratulates,will congratulate
relapses,will relapse
inflate,will inflate
insulates,will insulate
curls,will curl
proposes,will propose
rectifies,will rectify
borrows,will borrow
solves,will solve
eats,will eat
delivers,will deliver
assess,will assess
parks,will park
relinquishes,will relinquish
apologizes,will apologize
instruct,will instruct
imprints,will imprint
garden,will garden
combusts,will combust
choreographs,will choreograph
adapts,will adapt
watch,will watch
manifests,will manifest
cure,will cure
erodes,will erode
implicates,will implicate
expects,will expect
meditates,will meditate
prefers,will prefer
summarizes,will summarize
seeks,will seek
progress,will progress
disrupt,will disrupt
forge,will forge
freeze,will freeze
absents,will absent
cooks,is going to cook
tremble,will tremble
drives,will drive
argues,will argue
reinvents,will reinvent
adapt,will adapt
struggles,will struggle
codes,will code
gleam,will gleam
aids,will aid
vanishes,will vanish
expresses,will express
pioneers,will pioneer
vows,will vow
estimates,will estimate
clicks,will click
terminate,will terminate
disobeys,will disobey
calculate,will calculate
uses,will use
consents,will consent
compels,will compel
buy,will buy
fusses,will fuss
expands,will expand
stimulates,will stimulate
sinks,will sink
