feather,lightness
path,destiny
Scale,Balance
Path,Journey
rhythm,pattern
Ladder,Ascension
Zenith,Perfection
balloon,elevation
ribbon,unity
circle,eternity
chair,authority
puzzle,reason
lens,perception
money,finance
rhythm,order
Thread,Continuity
home,belonging
cable,transmission
ice,coldness
veil,obscurity
paint,emotion
foundation,basis
shell,protection
River,Change
knot,bond
tree,environment
Mask,Concealment
telescope,vision
boat,adventure
oracle,wisdom
Gate,Access
force,influence
Key,Solution
fence,limitation
light,awareness
Ball,Energy
Desk,Focus
statue,art
Flame,Passion
smile,happiness
Diamond,Value
border,boundary
Diary,Introspection
cycle,progression
Wheelchair,Mobility
theater,entertainment
recipe,method
Rain,Cleansing
dress,style
badge,recognition
bank,finance
clock,urgency
voice,expression
veil,secrecy
mask,persona
star,hope
puzzle,problem
dress,fashion
window,perspective
Bubble,Transience
book,learning
treasure,inheritance
medal,achievement
Rope,Connection
archive,documentation
mask,disguise
rope,relationship
storm,turmoil
Armor,Defense
progress,development
Hammer,Industry
ladder,progress
Star,Aspiration
color,mood
gift,gratitude
mosaic,complexity
recipe,creativity
door,opportunity
clock,responsibility
Perfume,Memory
flower,beauty
building,civilization
food,sustenance
water,purity
Juice,Essence
Desert,Loneliness
Gift,Kindness
signature,identity
mask,concealment
wall,isolation
sun,warmth
Sand,Time
snowflake,uniqueness
paper,expression
blanket,comfort
melody,harmony
painting,creation
circle,infinity
Nest,Home
desert,loneliness
experiment,validation
fence,seperation
candle,hope
Zipper,Closure
thread,narrative
program,process
wave,momentum
Feather,Lightness
pyramid,strength
page,knowledge
ladder,advancement
bell,warning
currency,prosperity
light,clarity
Dust,Mortality
zenith,achievement
road,destination
veil,mystery
Frame,Structure
echo,reverberation
Knot,Commitment
Envelope,Privacy
code,language
seed,growth
painting,creativity
vase,presentation
ladder,access
guitar,music
palette,creativity
Ocean,Vastness
Balloon,Joy
knot,entanglement
shadow,secrecy
hand,assistance
Paper,Document
wall,defense
Lens,Perspective
airplane,ambition
footprint,impact
Egg,Origin
Harvest,Reward
globe,universe
industry,progress
wave,rhythm
pond,tranquility
sculpture,art
shield,vigilance
Computer,Information
diagram,framework
clothing,expression
Light,Understanding
wall,protection
Music,Emotion
Bonfire,Community
Engine,Progress
client,demand
Answer,Responsibility
map,planning
tool,development
poem,emotion
mirror,reflection
Cage,Entrapment
square,order
money,resourcefulness
statue,legacy
sketch,outline
ornament,embellishment
money,value
root,origin
clock,schedule
Glove,Protection
fire,passion
window,opportunity
signature,authorization
sail,adventure
mask,protection
rose,beauty
bridge,unity
mask,identity
armor,protection
globe,universality
Shield,Protection
wind,freedom
Ocean,Mystery
Gate,Opportunity
Map,Strategy
coin,currency
circle,completeness
Embroidery,Elaboration
sack,contentment
stove,application
shadow,mystery
line,boundary
pen,record
sport,challenge
wave,motion
Thread,Connection
crossroads,decision
Archive,History
forest,growth
earth,nature
river,progress
dust,mortality
sponge,absorbtion
diamond,value
bell,alarm
brush,thoroughness
void,emptiness
Recipe,Strategy
Toy,Amusement
ceremony,celebration
Engine,Movement
stone,endurance
eraser,removal
Heart,Emotion
Desk,Work
Ball,Cooperation
yarn,story
flute,inspiration
screen,exhibit
Flag,Nation
Temple,Faith
Root,Origin
brick,foundation
Guitar,Harmony
Recipe,Method
ocean,possibility
gift,generosity
table,agreement
Circle,Eternity
clothing,presentation
diagram,clarity
Microphone,Communication
law,order
cloud,uncertainty
Pillow,Comfort
light,inspiration
Color,Expression
color,feeling
mechanism,process
shape,form
container,opportunity
envelope,packaging
building,society
fragment,disconnection
cup,contentment
spoon,benefit
labyrinth,complexity
feast,abundance
equation,equilibrium
prism,understanding
statue,dedication
Photograph,Remembrance
instrument,means
Market,Economy
mountain,challenge
statue,immortality
Wave,Change
sword,courage
gold,value
well,inspiration
frame,boundary
knife,precision
Road,Journey
lantern,awareness
Wind,Movement
Canopy,Protection
lantern,guidance
Uniform,Conformity
Altar,Worship
plow,opportunity
Bridge,Connection
bell,news
Mirror,Reflection
volcano,fervor
Ship,Adventure
veil,disguise
train,direction
Mask,Identity
research,discovery
Lamp,Enlightenment
rope,dependence
Key,Opportunity
anchor,security
Lightbulb,Insight
form,shape
stapler,joining
lattice,order
bouquet,admiration
Clock,Mortality
filter,discernment
Shadow,Fear
Tear,Sorrow
Lock,Security
river,flow
map,guidance
canvas,creativity
dance,freedom
thread,continuity
recipe,formula
parliament,legislation
ink,expression
crossroad,choice
contract,agreement
Urn,Remembrance
road,progress
meal,sustenance
signal,message
wave,movement
Veil,Mystery
process,method
instrument,artistry
knife,sharpness
building,infrastructure
Camera,Perspective
garden,nurturing
Telescope,Perspective
Camera,Memory
cloud,imagination
mask,deception
word,communication
flag,patriotism
catalyst,transformation
ocean,depth
dream,ambition
Door,Entrance
ribbon,honor
bridge,connection
Yardstick,Measurement
instrument,technique
statute,rule
map,navigation
key,admission
puzzle,solution
notebook,organization
chord,resonance
Ring,Commitment
Cystal,Clarity
function,operation
globe,world
Candle,Hope
variable,factor
wheel,progress
lamp,guidance
harvest,productivity
sculpture,form
statue,representation
puzzle,challenge
chain,bondage
pyramid,hierarchy
Door,Opportunity
glass,fragility
hypothesis,theory
film,memory
sword,justice
sock,warmth
void,freedom
Document,Evidence
Wall,Protection
ink,record
code,order
folder,arrangement
record,documentation
Toy,Playfulness
Letter,Intimacy
clockwork,system
painting,expression
artifact,culture
Medal,Achievement
door,admittance
shadow,projection
company,organization
scroll,wisdom
building,establishment
Money,Success
keyhole,secrecy
crime,injustice
pearl,value
rainbow,promise
rain,sorrow
hat,identity
Map,Direction
bulb,illumination
path,journey
prism,perspective
Knot,Connection
Pact,Allegiance
fork,utility
weapon,defense
light,knowledge
urn,memory
earth,existence
string,tenacity
aroma,recollection
equation,relationship
Pillow,Rest
magnet,influence
Window,Perspective
instrument,skill
key,control
Heart,Affection
Armor,Protection
server,service
microscope,analysis
Perfume,Allure
Grave,Mortality
weapon,violence
album,memory
Castle,Heritage
signal,instruction
Forge,Innovation
journey,experience
storm,conflict
rag,cleansing
router,direction
volume,substance
gear,function
ticket,access
Beacon,Hope
Armor,Strength
rhythm,balance
bus,community
Rope,Teamwork
hammer,construction
earth,stability
analysis,exploration
Hammer,Construction
Fire,Change
equation,relation
empire,domination
cable,connection
dress,appearance
broom,efficiency
Dome,Protection
weapon,aggression
Hammer,Justice
Lightbulb,Innovation
Statue,Legacy
sponge,absorption
fruit,reward
Glue,Adhesion
Seed,Hope
trade,exchange
bed,dreams
relation,connection
bottle,measure
chain,restriction
sculpture,creation
coin,value
Brick,Stability
glove,protection
music,emotion
eagle,courage
phone,communication
flag,nation
mop,tidiness
darkness,fear
clock,time
hand,help
rope,security
window,perception
ship,adventure
wave,energy
Silence,Peace
flame,passion
sky,infinity
formula,plan
Clay,Malleability
Coast,Transition
Medicine,Recovery
tapestry,history
time,duration
stream,flow
Button,Control
loom,fate
